,highway,osm_id,length,area,geometry
352,motorway_link,308931804,239.29,,"MultiLineString ((909683.74294216430280358 7012307.58624658454209566, 909688.59647196286823601 7012281.16776319313794374, 909686.78196426294744015 7012257.83119961991906166, 909681.80598302453290671 7012238.70900674164295197, 909667.7463313372572884 7012216.0594784077256918, 909651.42689398699440062 7012199.33228610269725323, 909622.46156248264014721 7012186.78227364085614681, 909598.01580230437684804 7012182.99499565549194813, 909535.09802610799670219 7012184.09033567178994417))"
350,motorway_link,308931802,246.12,,"MultiLineString ((909464.71071207954082638 7012391.13086739741265774, 909484.99312330200336874 7012389.57135979179292917, 909610.53924501873552799 7012365.49185840412974358, 909634.67331062257289886 7012357.32303868513554335, 909657.95021614746656269 7012345.10695572849363089, 909673.84663943259511143 7012328.78793187811970711, 909683.74294216430280358 7012307.58624658454209566))"
353,motorway_link,308931807,259.73,,"MultiLineString ((909056.34629205334931612 7012077.23041528929024935, 909047.54092033160850406 7012095.18263326119631529, 909042.62059883854817599 7012113.6175796315073967, 909040.43873681896366179 7012132.70234244875609875, 909042.72078638023231179 7012154.42338297329843044, 909049.15505294816102833 7012174.34367131907492876, 909063.19244073715526611 7012192.27754293754696846, 909077.77529403113294393 7012205.77438597287982702, 909098.51411516580265015 7012215.24261137377470732, 909120.61103408818598837 7012220.18094516638666391, 909191.04287591332104057 7012224.87793465424329042))"
247,motorway_link,65269978,118.07,,"MultiLineString ((909357.26513956591952592 7012395.8093920610845089, 909341.68041085486765951 7012431.73386936169117689, 909321.17536065052263439 7012472.87548517156392336, 909298.03203851450234652 7012496.32407331932336092))"
2,motorway_link,9468664,90.02,,"MultiLineString ((909441.14437587838619947 7012158.61907796282321215, 909426.35001555213239044 7012152.17701620981097221, 909410.93226607714314014 7012145.62356967851519585, 909357.85513286700006574 7012124.47806648910045624))"
5,motorway_link,10263821,367.74,,"MultiLineString ((910621.18663803255185485 7011840.1052749315276742, 910566.68461534020025283 7011870.29085957538336515, 910505.42549955658614635 7011895.57555167842656374, 910480.04465565574355423 7011903.8924136022105813, 910443.68770996283274144 7011912.04220412857830524, 910399.31576093251351267 7011918.85536114685237408, 910360.22035576612688601 7011925.59426605608314276, 910323.49605575320310891 7011933.70694976765662432, 910272.8011596460128203 7011949.26401852164417505))"
12,motorway_link,11681128,363.94,,"MultiLineString ((910621.18663803255185485 7011840.1052749315276742, 910602.88571374630555511 7011858.66958159487694502, 910528.27939101657830179 7011907.21544791199266911, 910475.89243864919990301 7011939.2763026338070631, 910418.17328267300035805 7011964.93250510189682245, 910315.24728148535359651 7012006.03458191826939583, 910302.69044292392209172 7012010.84283329546451569))"
10,motorway_link,10870060,287.8,,"MultiLineString ((908868.88426955766044557 7012272.90620344132184982, 908941.21967467514332384 7012244.40852933190762997, 908972.83441006019711494 7012226.715887819416821, 908990.26704231835901737 7012209.00472043547779322, 909006.66440331237390637 7012186.31814634054899216, 909015.70354596467223018 7012165.09827500954270363, 909027.67039122502319515 7012125.66622321307659149, 909039.15856267500203103 7012099.52681617997586727, 909056.34629205334931612 7012077.23041528929024935))"
302,pedestrian,194265175,149.76,,"MultiLineString ((910115.98539296549279243 7012292.13987039960920811, 910091.35038965276908129 7012285.67913539614528418, 910080.39655175874941051 7012268.30201205797493458, 910082.66746937099378556 7012244.77983387839049101, 910094.25582836254034191 7012235.81283395364880562, 910111.2765785048250109 7012233.60357465129345655, 910122.18588860263116658 7012237.5393983731046319, 910126.50508484535384923 7012239.09887623321264982, 910134.16386581200640649 7012248.02874938491731882, 910128.99864143924787641 7012267.7079230397939682))"
318,pedestrian,233509630,53.52,,"MultiLineString ((910140.79850746318697929 7012187.35779153369367123, 910122.18588860263116658 7012237.5393983731046319))"
303,pedestrian,194265176,59.04,,"MultiLineString ((910039.54229863779619336 7012293.5322708748281002, 910045.58694698801264167 7012297.5609509414061904, 910051.25310906919185072 7012295.77867748029530048, 910051.55367169424425811 7012290.09768348187208176, 910049.76142789260484278 7012285.3263942701742053, 910075.26472323329653591 7012271.14250078238546848, 910080.39655175874941051 7012268.30201205797493458))"
320,pedestrian,235606913,21.55,,"MultiLineString ((910026.76282109471503645 7012313.24868766218423843, 910038.98570118378847837 7012295.50019728951156139))"
176,pedestrian,34710214,140.31,,"MultiLineString ((910210.58469624153804034 7012426.01564714778214693, 910081.57653836125973612 7012370.85729227308183908))"
301,pedestrian,194265173,42.4,,"MultiLineString ((910018.68102606304455549 7012508.93027076311409473, 909996.57297519152052701 7012499.90727616380900145, 909989.05890956299845129 7012496.84391612187027931, 909984.87329670914914459 7012506.36818483751267195))"
305,pedestrian,194265179,53.39,,"MultiLineString ((910029.01147480867803097 7012245.03974706865847111, 910030.83711445762310177 7012250.10805600229650736, 910041.5794453191338107 7012279.88675674237310886, 910041.4347299812361598 7012286.92301212716847658, 910044.39582843636162579 7012284.43525885790586472, 910049.76142789260484278 7012285.3263942701742053))"
304,pedestrian,194265177,8.92,,"MultiLineString ((910038.98570118378847837 7012295.50019728951156139, 910039.54229863779619336 7012293.5322708748281002, 910041.4347299812361598 7012286.92301212716847658))"
321,pedestrian,235606914,325.78,,"MultiLineString ((909995.14808570931199938 7012564.57229653373360634, 909995.49317613081075251 7012563.7739597475156188, 910018.68102606304455549 7012508.93027076311409473, 910056.3404097983147949 7012426.27556624915450811, 910081.57653836125973612 7012370.85729227308183908, 910099.29860129544977099 7012326.52295054960995913, 910115.98539296549279243 7012292.13987039960920811, 910128.99864143924787641 7012267.7079230397939682))"
299,pedestrian,194265167,124.89,,"MultiLineString ((910082.66746937099378556 7012244.77983387839049101, 910029.01147480867803097 7012245.03974706865847111, 909985.91969992266967893 7012257.255676643922925, 909965.90445547795388848 7012274.53994940780103207))"
300,pedestrian,194265171,51.69,,"MultiLineString ((910128.99864143924787641 7012267.7079230397939682, 910082.66746937099378556 7012244.77983387839049101))"
114,residential,25477488,195.38,,"MultiLineString ((909658.50681360135786235 7011310.799391801469028, 909527.96244674816261977 7011349.59626535046845675, 909498.87466380384285003 7011350.67292769253253937, 909471.31195788353215903 7011345.49381190072745085, 909469.30820704926736653 7011345.12254924792796373))"
18,residential,15802164,588.09,,"MultiLineString ((910187.51929774926975369 7010896.33433838747441769, 909908.15190365456510335 7010966.48077365010976791, 909895.49487755133304745 7010967.74300677236169577, 909888.97155539074447006 7010951.61242501996457577, 909846.79260032926686108 7010813.6221080869436264, 909829.68279459420591593 7010737.70432182494550943, 909831.53069814143236727 7010689.92660408280789852))"
195,residential,43735093,579.88,,"MultiLineString ((908777.06795355118811131 7010963.34375396557152271, 908681.84526112652383745 7010961.56177883595228195, 908601.43919292674399912 7010964.49461311381310225, 908503.63388831575866789 7010971.99376389943063259, 908473.82252868136856705 7010973.47874509170651436, 908402.26635999931022525 7010976.96845197770744562, 908303.20314514241181314 7011051.3478338997811079, 908255.10199317045044154 7011106.84974654205143452, 908250.3375189647777006 7011112.34427129290997982))"
1,residential,9387742,1325.65,,"MultiLineString ((910541.682257708045654 7010761.09212023019790649, 910536.07175537198781967 7010753.76022366527467966, 910527.50015458092093468 7010742.14057355001568794, 910516.54631668690126389 7010731.74601272493600845, 910499.43651095195673406 7010725.76914638839662075, 910486.62363756156992167 7010723.30044203251600266, 910469.89231809531338513 7010721.1101636216044426, 910422.12512459605932236 7010716.84097862150520086, 910411.54977297061122954 7010716.37693691253662109, 910370.12779044650960714 7010713.7968654939904809, 910145.96373183617834002 7010702.71556106861680746, 909980.25353784125763923 7010693.58324136026203632, 909970.86930476746056229 7010693.0635161641985178, 909860.05075168272014707 7010690.5762603348121047, 909831.53069814143236727 7010689.92660408280789852, 909660.6998075699666515 7010687.92195086367428303, 909624.68795229843817651 7010690.01941211801022291, 909580.29373937007039785 7010692.54379099793732166, 909514.43712861672975123 7010696.27467596158385277, 909426.77302961703389883 7010719.66235280130058527, 909371.52516633633058518 7010741.97351799998432398, 909312.61489180859643966 7010764.37755455635488033, 909284.96313029550947249 7010774.82784334756433964, 909248.35014977352693677 7010789.30606360826641321))"
17,residential,15802162,303.67,,"MultiLineString ((910145.96373183617834002 7010702.71556106861680746, 910187.51929774926975369 7010896.33433838747441769, 910214.94842028070706874 7010998.35222116019576788))"
144,residential,27470948,227.95,,"MultiLineString ((909110.67020356049761176 7011481.11721561569720507, 909036.56481853942386806 7011504.30299701262265444, 909016.71655333088710904 7011509.50077952072024345, 908995.42113474232610315 7011511.32000419683754444, 908976.47455740917939693 7011510.57746345922350883, 908956.41478516825009137 7011496.6362740034237504, 908945.4052875287597999 7011498.60400366131216288, 908931.90223329549189657 7011505.30542622972279787, 908905.80894465348683298 7011533.9675298472866416))"
15,residential,11692151,50.56,,"MultiLineString ((909181.38034411240369081 7012768.96771040186285973, 909198.84637221787124872 7012779.3092291010543704, 909224.89513306342996657 7012794.71941650938242674))"
3,residential,9562649,190.33,,"MultiLineString ((909248.35014977352693677 7010789.30606360826641321, 909176.08153635053895414 7010613.23041596915572882))"
83,residential,24478724,272.02,,"MultiLineString ((909164.33733007195405662 7011734.69796147570014, 909154.91970115096773952 7011746.59751969482749701, 909124.70759134960826486 7011785.02523152716457844, 909106.42893096129409969 7011808.97302971314638853, 909091.08910513005685061 7011828.50260522216558456, 909082.25033756101038307 7011840.86641065217554569, 909074.73627193237189204 7011850.05573792569339275, 909063.11451709363609552 7011864.09036729950457811, 909039.71516012877691537 7011893.55203078221529722, 909006.04101416387129575 7011937.45698027033358812, 908996.84602422430180013 7011949.00411497615277767))"
368,residential,327431080,222.31,,"MultiLineString ((909224.89513306342996657 7012794.71941650938242674, 909307.32721599587239325 7012844.77488144300878048, 909338.09592325112316757 7012864.17702862713485956, 909413.79317699070088565 7012911.91208175756037235))"
380,residential,329093803,34.42,,"MultiLineString ((909461.1930161704076454 7012939.61376839783042669, 909466.53635172836948186 7012942.5844643684104085, 909481.0412813788279891 7012945.7965306369587779, 909494.45528001931961626 7012944.84962079580873251))"
398,residential,344115462,389.05,,"MultiLineString ((909543.93679367692675442 7011771.95607589371502399, 909447.02204499230720103 7011772.42017906345427036, 909410.63170345209073275 7011771.1392543762922287, 909394.05623127287253737 7011770.50807417090982199, 909378.9724402705905959 7011769.91402225755155087, 909375.05399419437162578 7011769.76550928968936205, 909357.64362583437468857 7011769.39422687329351902, 909259.73813368182163686 7011766.8880710219964385, 909233.42220605816692114 7011765.66283955797553062, 909214.60921211412642151 7011764.79032635688781738, 909203.46613108576275408 7011762.91535150818526745, 909192.93530725664459169 7011756.51073777116835117, 909164.33733007195405662 7011734.69796147570014))"
194,residential,43735092,502.9,,"MultiLineString ((909248.35014977352693677 7010789.30606360826641321, 909238.5206387365469709 7010793.31542155891656876, 909123.67232008511200547 7010842.98707901313900948, 909093.0705920661566779 7010855.51641369424760342, 909068.54690824425779283 7010865.53989562205970287, 909039.97119495761580765 7010877.23397379834204912, 908991.55834841169416904 7010895.42479617986828089, 908872.95856292056851089 7010934.34958312287926674, 908777.06795355118811131 7010963.34375396557152271))"
376,residential,329093799,134.69,,"MultiLineString ((910200.9444283387856558 7011143.28816891182214022, 910186.90704054990783334 7011151.32580564916133881, 910162.16071774647571146 7011161.12690713442862034, 910074.07360468176193535 7011187.31892499234527349))"
379,residential,329093802,54.91,,"MultiLineString ((909413.79317699070088565 7012911.91208175756037235, 909437.88271479809191078 7012926.61698653642088175, 909461.1930161704076454 7012939.61376839783042669))"
282,residential,121749645,305.27,,"MultiLineString ((908356.13556301465723664 7010675.20726390462368727, 908375.72779339435510337 7010801.90956137143075466, 908378.27700973337050527 7010818.72663066256791353, 908402.26635999931022525 7010976.96845197770744562))"
283,residential,121749646,7.9,,"MultiLineString ((908353.8869093005778268 7010667.6341461269184947, 908356.13556301465723664 7010675.20726390462368727))"
4,residential,9562720,65.79,,"MultiLineString ((909609.55963349970988929 7011773.55259091407060623, 909599.0288096705917269 7011771.6776139996945858, 909543.93679367692675442 7011771.95607589371502399))"
269,residential,96767592,120.35,,"MultiLineString ((910074.07360468176193535 7011187.31892499234527349, 909958.70208442350849509 7011221.58586215693503618))"
270,residential,96767593,92.49,,"MultiLineString ((909958.70208442350849509 7011221.58586215693503618, 909943.98564774077385664 7011225.96669464930891991, 909931.07258680881932378 7011229.80920648202300072, 909876.24773759301751852 7011246.08885447401553392, 909870.04724195576272905 7011247.94514484331011772))"
