,building,geometry,osm_id,area,category
368,yes,"MultiPolygon (((909022.12668058357667178 7013447.86026063282042742, 909043.92303688079118729 7013482.73109825514256954, 909178.00736354128457606 7013398.85937872063368559, 909156.19987529492937028 7013364.00747592747211456, 909022.12668058357667178 7013447.86026063282042742)))",120627885,6502.53,commercial
377,yes,"MultiPolygon (((908586.03257540077902377 7013480.96712783072143793, 908595.9511420305352658 7013495.80305966921150684, 908606.00329204928129911 7013489.08139501698315144, 908611.51360684330575168 7013497.32564747799187899, 908616.65656731813214719 7013493.87197310943156481, 908609.63230744923930615 7013483.36241407971829176, 908694.51341917889658362 7013426.59989403747022152, 908686.119929573033005 7013414.02938082255423069, 908586.03257540077902377 7013480.96712783072143793)))",120628098,1931.04,commercial
376,yes,"MultiPolygon (((908789.90309083962347358 7013545.7329505542293191, 908804.48594413348473608 7013568.08916523773223162, 908817.67730379267595708 7013559.47347374726086855, 908830.74621201166883111 7013579.49011613707989454, 908854.71329837956000119 7013563.85559152718633413, 908827.06153686647303402 7013521.48284175619482994, 908789.90309083962347358 7013545.7329505542293191)))",120628097,1868.43,commercial
375,yes,"MultiPolygon (((908750.95240101113449782 7013406.9364264290779829, 908656.10819485515821725 7013471.57167089264839888, 908673.26252838631626219 7013496.75003497768193483, 908768.10673454229254276 7013432.1145863002166152, 908750.95240101113449782 7013406.9364264290779829)))",120628095,3496.79,commercial
374,yes,"MultiPolygon (((908840.01912559475749731 7013301.0813310369849205, 908801.32447059510741383 7013325.86923378705978394, 908804.29670099914073944 7013330.51117171160876751, 908788.83442372793797404 7013340.4263601740822196, 908774.65232060081325471 7013318.29359689820557833, 908674.26440380362328142 7013382.63103634677827358, 908701.54881099716294557 7013425.1887276042252779, 908802.9386032116599381 7013360.21963845659047365, 908794.2890787769574672 7013346.7208401532843709, 908804.56386777712032199 7013340.12927569821476936, 908810.23002985853236169 7013348.9675436494871974, 908853.0991657628910616 7013321.48724686726927757, 908840.01912559475749731 7013301.0813310369849205)))",120628090,7364.8,commercial
373,yes,"MultiPolygon (((908853.17708940664306283 7013291.20332685764878988, 908873.09214630944188684 7013319.40766069479286671, 908887.56368011271115392 7013309.19541506003588438, 908867.63749126065522432 7013280.99111736658960581, 908853.17708940664306283 7013291.20332685764878988)))",120628087,611.44,commercial
372,yes,"MultiPolygon (((908872.8583753788843751 7013517.71349762752652168, 908950.12523393833544105 7013467.83948652632534504, 908867.44824812607839704 7013339.72078455798327923, 908790.18138956662733108 7013389.59399384632706642, 908872.8583753788843751 7013517.71349762752652168)))",120628086,14022.76,commercial
371,yes,"MultiPolygon (((908675.61136964207980782 7013504.62293210998177528, 908689.87139641284011304 7013526.06918898783624172, 908721.8646180669311434 7013504.79004557337611914, 908707.61572324531152844 7013483.3438459662720561, 908675.61136964207980782 7013504.62293210998177528)))",120628085,989.58,commercial
370,yes,"MultiPolygon (((908646.32321161450818181 7013477.92195875477045774, 908630.44905222731176764 7013489.15566752199083567, 908645.17662085930351168 7013509.9891329612582922, 908661.05078024638351053 7013498.75539482850581408, 908646.32321161450818181 7013477.92195875477045774)))",120628082,496.16,commercial
369,yes,"MultiPolygon (((908999.60674759605899453 7013414.53071553260087967, 909059.34078635578043759 7013374.81396331731230021, 908968.89370008604601026 7013238.73127683810889721, 908909.14852937741670758 7013278.42878321744501591, 908999.60674759605899453 7013414.53071553260087967)))",120628080,11721.72,commercial
26,yes,"MultiPolygon (((909711.96243308042176068 7012679.49649581033736467, 909660.38811299588996917 7012764.7531276335939765, 909651.17085915803909302 7012759.18319788295775652, 909633.70483105280436575 7012788.05404263269156218, 909639.96098643529694527 7012791.84160816483199596, 909697.02335741592105478 7012826.33824372477829456, 909724.29663266020361334 7012781.25870898924767971, 909741.54002178413793445 7012752.74065066035836935, 909844.37696737889200449 7012814.93837024737149477, 909868.88951925165019929 7012774.40768175851553679, 909711.96243308042176068 7012679.49649581033736467)))",64861874,14488.77,commercial
27,yes,"MultiPolygon (((909909.76603627088479698 7012819.07871329225599766, 909967.79688682151027024 7012856.97316368110477924, 910004.78835361218079925 7012800.32650413829833269, 909946.76863501046318561 7012762.43232310004532337, 909923.93700744898524135 7012797.37442771159112453, 909909.76603627088479698 7012819.07871329225599766)))",65103444,4689.1,commercial
28,yes,"MultiPolygon (((909070.3836798423435539 7011893.27356464415788651, 909091.83494571840856224 7011910.90977260004729033, 909096.54376017872709781 7011905.15479518845677376, 909109.84643932851031423 7011916.08925582747906446, 909114.76676082180347294 7011910.11150129046291113, 909125.52022363222204149 7011918.94818348903208971, 909134.21427586325444281 7011908.36644335929304361, 909103.38990886264946312 7011883.02601752523332834, 909096.46583653520792723 7011891.45425278227776289, 909093.46021028398536146 7011895.11144133470952511, 909078.78830139734782279 7011883.04458190873265266, 909070.3836798423435539 7011893.27356464415788651)))",73229647,1064.4,commercial
29,yes,"MultiPolygon (((909018.67577636893838644 7011972.93384128902107477, 909034.63899134867824614 7011985.89193874318152666, 909035.2846443954622373 7011985.11222455091774464, 909045.09189153416082263 7011993.07645171321928501, 909051.44823445833753794 7011985.24217690713703632, 909051.75992903264705092 7011985.50208164006471634, 909061.9901902365963906 7011972.91527669504284859, 909051.75992903264705092 7011964.59834274183958769, 909043.73379374644719064 7011974.4932673741132021, 909027.87076630839146674 7011961.60944672208279371, 909018.67577636893838644 7011972.93384128902107477)))",85733821,640.68,commercial
521,yes,"MultiPolygon (((909949.10634431708604097 7012700.60633907094597816, 909965.30333022773265839 7012711.15199851524084806, 909969.82290155394002795 7012704.22676635906100273, 909953.62591564340982586 7012693.66254980769008398, 909949.10634431708604097 7012700.60633907094597816)))",560311780,160.02,commercial
30,yes,"MultiPolygon (((908951.4165400315541774 7012042.92266964167356491, 908963.87319105130154639 7012049.38320786226540804, 908965.52071951527614146 7012047.30395360942929983, 908974.48193852393887937 7012054.43282758817076683, 908990.10006308229640126 7012034.7541805412620306, 908991.81438324064947665 7012036.10940656531602144, 909019.13218628114555031 7012001.70901462156325579, 909004.49367324181366712 7011990.08754501305520535, 908988.97573622514028102 7012009.63612900953739882, 908980.88280924456194043 7012003.21275234222412109, 908973.48006310674827546 7012012.53221960552036762, 908974.38175098225474358 7012013.2562424223870039, 908954.56688162114005536 7012038.20722264051437378, 908954.88970814447384328 7012038.48569384310394526, 908951.4165400315541774 7012042.92266964167356491)))",85733825,1708.85,commercial
31,yes,"MultiPolygon (((909034.40522041812073439 7011932.5002571577206254, 909087.96102743863593787 7011973.89920026063919067, 909093.72737706173211336 7011966.43623588513582945, 909100.58465769467875361 7011971.72714274283498526, 909110.01341856457293034 7011959.53021537233144045, 909056.63572272937744856 7011918.2798626497387886, 909050.83597725920844823 7011925.77991089969873428, 909043.80058544094208628 7011920.3405187651515007, 909034.40522041812073439 7011932.5002571577206254)))",85733827,1731.38,commercial
