,building,geometry,osm_id,area,category
543,house,"MultiPolygon (((909603.96026311255991459 7010757.73244020901620388, 909623.59702128870412707 7010753.81590892840176821, 909619.81215860170777887 7010734.90150296967476606, 909600.17540042567998171 7010738.8180249547585845, 909603.96026311255991459 7010757.73244020901620388)))",764201142,386.24,residential
544,house,"MultiPolygon (((909606.23118072480428964 7010786.50322660710662603, 909625.71209161367733032 7010782.77229941263794899, 909622.22779155184980482 7010764.5446105720475316, 909602.74688066297676414 7010768.27552923187613487, 909606.23118072480428964 7010786.50322660710662603)))",764201143,368.09,residential
546,house,"MultiPolygon (((909652.10594288073480129 7011490.13905689027160406, 909676.39585577184334397 7011484.73708897456526756, 909672.86702791368588805 7011468.8653487665578723, 909648.57711502269376069 7011474.26730591803789139, 909652.10594288073480129 7011490.13905689027160406)))",768435948,404.59,residential
505,house,"MultiPolygon (((909596.95826714171562344 7010363.65736679546535015, 909608.73586926772259176 7010360.79899694677442312, 909608.27945935551542789 7010358.92435234133154154, 909625.61190407199319452 7010354.69248297624289989, 909619.38914453668985516 7010329.18994936812669039, 909607.8007855451432988 7010332.02974710799753666, 909610.2275504443095997 7010341.97832756862044334, 909605.24043725687079132 7010343.20334019791334867, 909602.79140845942310989 7010333.18051510769873857, 909590.26796574518084526 7010336.24304365832358599, 909596.95826714171562344 7010363.65736679546535015)))",330480286,757.83,residential
549,house,"MultiPolygon (((908705.73442385077942163 7010989.18243811186403036, 908733.19694222952239215 7010987.3818949069827795, 908732.31751825218088925 7010973.94280176982283592, 908704.85499987343791872 7010975.74334193859249353, 908705.73442385077942163 7010989.18243811186403036)))",779867400,370.65,residential
550,house,"MultiPolygon (((908708.28364019002765417 7011033.19378046784549952, 908726.52890473091974854 7011032.00578659400343895, 908725.77193219366017729 7011020.23723183758556843, 908707.52666765265166759 7011021.42522395681589842, 908708.28364019002765417 7011033.19378046784549952)))",779867401,215.62,residential
551,house,"MultiPolygon (((908642.13759876077529043 7012416.26868693064898252, 908649.52921294944826514 7012417.45688715390861034, 908648.89469185180496424 7012421.33710475545376539, 908665.94883784127887338 7012424.10338544379919767, 908664.27904547948855907 7012434.40732530876994133, 908675.94532811467070132 7012436.30102381110191345, 908677.69304411998018622 7012425.5143746193498373, 908679.59660741267725825 7012425.81142500042915344, 908681.86752502480521798 7012411.83150327485054731, 908643.85191891889553517 7012405.68628647550940514, 908642.13759876077529043 7012416.26868693064898252)))",789945682,657.23,residential
401,house,"MultiPolygon (((910815.29443412879481912 7011992.96506386902183294, 910800.43328210792969912 7011985.03796605579555035, 910782.21028146496973932 7011975.32867433037608862, 910775.89846633700653911 7011987.15433332044631243, 910780.37350986700039357 7011989.54917063657194376, 910777.12298073584679514 7011995.6383726354688406, 910805.73208986967802048 7012010.8985273465514183, 910815.29443412879481912 7011992.96506386902183294)))",121376958,726.9,residential
552,house,"MultiPolygon (((909361.50641216500662267 7011953.62668645288795233, 909387.71102029772009701 7011962.55623975209891796, 909393.9226478838827461 7011944.30728807114064693, 909384.78331768966745585 7011941.18844801653176546, 909383.72578252747189254 7011944.28872354235500097, 909366.66050458862446249 7011938.45946397259831429, 909361.50641216500662267 7011953.62668645288795233)))",810815949,474.91,residential
399,house,"MultiPolygon (((910800.21064312616363168 7011968.08848361205309629, 910821.23889493732713163 7011980.09977796673774719, 910830.70105165464337915 7011963.54016203433275223, 910809.68393179273698479 7011951.52889264095574617, 910800.21064312616363168 7011968.08848361205309629)))",121376956,461.85,residential
384,house,"MultiPolygon (((909464.22090631991159171 7011727.34660521615296602, 909444.57301619497593492 7011718.52869945392012596, 909433.08484474511351436 7011744.14706319663673639, 909452.73273487016558647 7011752.96499730739742517, 909464.22090631991159171 7011727.34660521615296602)))",120822093,604.65,residential
